Player,height,Age,all_games,total_started,ppg,apg,rpg,FG%,FT%,3P%,All_Star
"Troy Daniels",6-4,25,67,3,8.2239,0.6866,1.492537313432836,0.374,0.796,0.389,0
"Shawn Long",6-9,24,18,0,8.2222,0.7222,4.722222222222222,0.56,0.543,0.368,0
"Caris LeVert",6-7,22,57,26,8.2105,1.9298,3.2982456140350878,0.45,0.72,0.321,0
"Willy Hernangomez",6-11,22,72,22,8.1528,1.3333,6.972222222222222,0.529,0.728,0.267,0
"Willie Cauley-Stein",7-0,23,75,21,8.1467,1.0667,4.533333333333333,0.53,0.669,0,0
"Ben McLemore",6-5,23,61,26,8.1148,0.8361,2.1311475409836067,0.43,0.753,0.382,0
"Al Jefferson",6-10,32,66,1,8.1061,0.8636,4.212121212121212,0.499,0.765,0,0
"Tristan Thompson",6-9,25,78,78,8.0769,0.9872,9.179487179487179,0.6,0.498,0,0
"Vince Carter",6-6,40,73,15,8.0274,1.8219,3.1095890410958904,0.394,0.765,0.378,0
"Alex Len",7-1,23,77,34,7.9610,0.5714,6.623376623376624,0.497,0.721,0.25,0
"Langston Galloway",6-2,25,74,2,7.9054,1.2568,2.108108108108108,0.38,0.797,0.39,0
"D.J. Augustin",6-0,29,78,20,7.8974,2.6795,1.5,0.377,0.814,0.347,0
"Shelvin Mack",6-3,26,55,9,7.8182,2.8000,2.327272727272727,0.446,0.688,0.308,0
"Rajon Rondo",6-1,30,69,42,7.7971,6.6812,5.144927536231884,0.408,0.6,0.376,0
"Sergio Rodriguez",6-3,30,68,30,7.7941,5.0588,2.3088235294117645,0.392,0.667,0.365,0
"Garrett Temple",6-6,30,65,21,7.7846,2.6000,2.8153846153846156,0.424,0.784,0.373,0
"Justin Holiday",6-6,27,82,4,7.6707,1.2439,2.7439024390243905,0.433,0.825,0.355,0
"Matthew Dellavedova",6-4,26,76,54,7.5921,4.6974,1.9342105263157894,0.39,0.854,0.367,0
"Luol Deng",6-9,31,56,49,7.5893,1.3214,5.267857142857143,0.387,0.73,0.309,0
"Andre Iguodala",6-6,33,76,0,7.5526,3.4474,4,0.528,0.706,0.362,0
"Manu Ginobili",6-6,39,69,0,7.4928,2.6522,2.2753623188405796,0.39,0.804,0.392,0
"Ivica Zubac",7-1,19,38,11,7.4737,0.7895,4.184210526315789,0.529,0.653,0,0
"Iman Shumpert",6-5,26,76,31,7.4605,1.4342,2.8815789473684212,0.411,0.789,0.36,0
"Isaiah Whitehead",6-4,21,73,26,7.4384,2.6301,2.5205479452054793,0.402,0.805,0.295,0
"Timofey Mozgov",7-1,30,54,52,7.4259,0.7963,4.888888888888889,0.515,0.808,0,0
"Alan Williams",6-8,24,47,0,7.3617,0.4894,6.212765957446808,0.517,0.625,0,0
"Archie Goodwin",6-5,22,15,0,7.3333,1.6000,1.8666666666666667,0.545,0.786,0.333,0
"Spencer Dinwiddie",6-6,23,59,18,7.3220,3.1356,2.7796610169491527,0.444,0.792,0.376,0
"Danny Green",6-6,29,68,68,7.3088,1.8235,3.2941176470588234,0.392,0.844,0.379,0
"David Lee",6-7,33,79,10,7.2911,1.5696,5.569620253164557,0.59,0.708,,0
"David Lee",6-9,33,79,10,7.2911,1.5696,5.569620253164557,0.59,0.708,,0
"Tyler Ulis",5-10,21,61,15,7.2787,3.7049,1.5573770491803278,0.421,0.775,0.266,0
"Rodney Stuckey",6-5,30,39,0,7.2051,2.1538,2.1538461538461537,0.373,0.748,0.317,0
"Thabo Sefolosha",6-7,32,62,42,7.1613,1.7258,4.354838709677419,0.441,0.733,0.342,0
"Tim Frazier",6-1,26,65,35,7.1385,5.1538,2.6615384615384614,0.403,0.76,0.313,0
"Larry Nance",6-10,24,63,7,7.1270,1.5238,5.857142857142857,0.526,0.738,0.278,0
"Larry Nance",6-9,24,63,7,7.1270,1.5238,5.857142857142857,0.526,0.738,0.278,0
"Brandon Jennings",6-1,27,81,13,7.1235,4.8765,2.419753086419753,0.359,0.75,0.313,0
"Matt Barnes",6-7,36,74,18,7.1216,2.6216,5.22972972972973,0.391,0.787,0.331,0
"Justin Anderson",6-6,23,75,10,7.0933,0.8800,3.2666666666666666,0.424,0.791,0.299,0
"Anthony Tolliver",6-8,31,65,9,7.0923,1.1846,3.6769230769230767,0.442,0.744,0.391,0
"Joe Ingles",6-8,29,82,26,7.0854,2.7317,3.1707317073170733,0.452,0.735,0.441,0
"Solomon Hill",6-7,25,80,71,7.0375,1.7625,3.8375,0.384,0.805,0.348,0
"Josh Huestis",6-7,25,2,0,7.0000,1.5000,4.5,0.545,0,0.5,0
"Justin Hamilton",7-0,26,64,7,6.9063,0.8594,4.09375,0.459,0.75,0.304,0
"T.J. McConnell",6-2,24,81,51,6.8642,6.5926,3.0987654320987654,0.461,0.811,0.2,0
"Patrick Patterson",6-9,27,65,8,6.8462,1.1692,4.476923076923077,0.401,0.717,0.372,0
"Ian Clark",6-3,25,77,0,6.8442,1.1688,1.5844155844155845,0.487,0.759,0.374,0
"Bobby Portis",6-11,21,64,13,6.8281,0.5469,4.625,0.488,0.661,0.333,0
"Jared Dudley",6-7,31,64,7,6.7813,1.8906,3.515625,0.454,0.662,0.379,0
"Lance Stephenson",6-5,26,18,0,6.7778,3.2778,2.888888888888889,0.45,0.615,0.3,0
"John Henson",6-11,26,58,39,6.7586,0.9828,5.086206896551724,0.515,0.692,0,0
"Brandan Wright",6-10,29,28,5,6.7500,0.5357,2.7857142857142856,0.615,0.657,0,0
"Alec Burks",6-6,25,42,0,6.7381,0.7143,2.857142857142857,0.399,0.769,0.329,0
"Raymond Felton",6-1,32,80,11,6.7250,2.3875,2.7125,0.43,0.781,0.319,0
"Devin Harris",6-3,33,65,0,6.7231,2.0923,1.9538461538461538,0.399,0.829,0.328,0
"James Ennis",6-7,26,64,28,6.7031,1.0000,4.046875,0.455,0.782,0.372,0
"Dwight Powell",6-11,25,77,3,6.7013,0.6364,3.9740259740259742,0.515,0.759,0.284,0
"P.J. Tucker",6-6,31,81,21,6.6667,1.2222,5.827160493827161,0.413,0.774,0.357,0
"Marcus Thornton",6-4,29,33,1,6.6364,1.2424,2.303030303030303,0.4,0.852,0.35,0
"Kosta Koufos",7-0,27,71,62,6.6197,0.6620,5.676056338028169,0.551,0.613,0,0
"Andre Roberson",6-7,25,79,79,6.6076,1.0000,5.0886075949367084,0.464,0.423,0.245,0
"Jaylen Brown",6-7,20,78,20,6.6026,0.8205,2.8205128205128207,0.454,0.685,0.341,0
"Michael Carter-Williams",6-6,25,45,19,6.6000,2.5111,3.3777777777777778,0.366,0.753,0.234,0
"Dante Cunningham",6-8,29,66,35,6.5909,0.5455,4.196969696969697,0.485,0.593,0.392,0
"Sam Dekker",6-9,22,77,2,6.5455,0.9870,3.688311688311688,0.473,0.559,0.321,0
"Amir Johnson",6-9,29,80,77,6.5000,1.7500,4.5625,0.576,0.67,0.409,0
"Timothe Luwawu-Cabarrot",6-6,21,69,19,6.4493,1.0870,2.1594202898550723,0.402,0.854,0.311,0
"Mirza Teletovic",6-9,31,70,2,6.4429,0.6857,2.3142857142857145,0.373,0.778,0.341,0
"Darrell Arthur",6-9,28,41,7,6.3902,1.0244,2.731707317073171,0.442,0.864,0.453,0
"Rodney McGruder",6-4,25,78,65,6.3718,1.5897,3.2948717948717947,0.413,0.62,0.332,0
"Kelly Oubre",6-7,21,79,5,6.3418,0.5949,3.2911392405063293,0.421,0.758,0.287,0
"Kyle O'Quinn",6-10,26,79,8,6.2785,1.4810,5.556962025316456,0.521,0.771,0.118,0
"Leandro Barbosa",6-3,34,67,0,6.2537,1.2090,1.5522388059701493,0.439,0.889,0.357,0
"Mindaugas Kuzminskas",6-9,27,68,5,6.2500,1.0147,1.8529411764705883,0.428,0.809,0.321,0
"Dante Exum",6-6,21,66,26,6.2424,1.6970,2,0.427,0.795,0.295,0
"Spencer Hawes",7-1,28,54,1,6.2407,1.5000,3.537037037037037,0.484,0.846,0.309,0
"Ramon Sessions",6-3,30,50,1,6.2400,2.5800,1.46,0.38,0.771,0.339,0
"Jonathan Gibson",6-2,29,17,0,6.2353,1.5294,1.2941176470588236,0.368,0.724,0.333,0
"Mike Muscala",6-11,25,70,3,6.2143,1.3571,3.4285714285714284,0.504,0.766,0.418,0
"Nemanja Bjelica",6-10,28,65,1,6.2000,1.2154,3.753846153846154,0.424,0.738,0.316,0
"Trey Lyles",6-10,21,71,4,6.1972,0.9859,3.3098591549295775,0.362,0.722,0.319,0
"Jonathon Simmons",6-6,27,78,8,6.1923,1.6154,2.051282051282051,0.42,0.75,0.294,0
"Chandler Parsons",6-10,28,34,34,6.1765,1.6176,2.4705882352941178,0.338,0.814,0.269,0
"Troy Williams",6-7,22,30,16,6.1667,0.8333,2.3,0.437,0.656,0.29,0
"JaVale McGee",7-0,29,77,10,6.1299,0.2208,3.168831168831169,0.652,0.505,0,0
"Zaza Pachulia",6-11,32,70,70,6.0857,1.8857,5.857142857142857,0.534,0.778,0,0
"Derrick Williams",6-8,25,50,11,6.0800,0.5600,2.6,0.443,0.652,0.309,0
"Glenn Robinson",6-7,23,69,27,6.0725,0.6812,3.550724637681159,0.467,0.711,0.392,0
"Glenn Robinson",6-6,23,69,27,6.0725,0.6812,3.550724637681159,0.467,0.711,0.392,0
"David Nwaba",6-4,24,20,2,6.0000,0.7000,3.1,0.58,0.641,0.2,0
"Lance Thomas",6-8,28,46,15,5.9783,0.7609,3.0869565217391304,0.398,0.843,0.447,0
"Alex Abrines",6-6,23,68,6,5.9706,0.5882,1.2647058823529411,0.393,0.898,0.381,0
"Bismack Biyombo",6-9,24,81,27,5.9630,0.9136,7,0.528,0.534,,0
"Domantas Sabonis",6-11,20,81,66,5.9136,1.0123,3.54320987654321,0.399,0.657,0.321,0
"Andrew Harrison",6-6,22,72,18,5.9028,2.7500,1.8888888888888888,0.325,0.763,0.276,0
"Jerian Grant",6-4,24,63,28,5.8730,1.9048,1.7619047619047619,0.425,0.89,0.366,0
"Quincy Acy",6-7,26,38,1,5.8421,0.4737,3.026315789473684,0.412,0.75,0.411,0
"Beno Udrih",6-3,34,39,0,5.8205,3.3590,1.4615384615384615,0.467,0.941,0.344,0
"Tarik Black",6-9,25,67,16,5.7164,0.5821,5.104477611940299,0.51,0.752,0.5,0
"Taurean Waller-Prince",6-8,22,59,10,5.6780,0.9322,2.6610169491525424,0.4,0.787,0.324,0
"Jason Smith",7-0,30,74,3,5.6757,0.5000,3.4864864864864864,0.529,0.686,0.474,0
"Richard Jefferson",6-7,36,79,13,5.6709,0.9873,2.5569620253164556,0.446,0.741,0.333,0
"Quinn Cook",6-2,23,14,0,5.6429,1.8571,0.5,0.5,0.4,0.423,0
"Georgios Papagiannis",7-1,19,22,0,5.6364,0.9091,3.909090909090909,0.549,0.857,0,0
"Brandon Bass",6-8,31,52,0,5.6154,0.4038,2.480769230769231,0.575,0.875,0.333,0
"Ian Mahinmi",6-11,30,31,0,5.5806,0.6129,4.838709677419355,0.586,0.573,,0
"Gerald Green",6-7,31,47,0,5.5745,0.7021,1.8085106382978724,0.409,0.805,0.351,0
"Delon Wright",6-5,24,27,0,5.5556,2.1111,1.7777777777777777,0.422,0.764,0.333,0
"Terry Rozier",6-2,22,74,0,5.5405,1.7703,3.0675675675675675,0.367,0.773,0.318,0
"Anthony Morrow",6-5,31,49,7,5.5306,0.5102,0.6326530612244898,0.389,0.919,0.308,0
"Jerami Grant",6-8,22,80,4,5.4625,0.5750,2.575,0.463,0.612,0.371,0
"Boban Marjanovic",7-3,28,35,0,5.4571,0.2571,3.7142857142857144,0.545,0.81,,0
"Paul Zipser",6-8,22,44,18,5.4545,0.8182,2.840909090909091,0.398,0.775,0.333,0
"Meyers Leonard",7-1,24,74,12,5.4189,0.9595,3.189189189189189,0.386,0.875,0.347,0
"Joffrey Lauvergne",6-11,25,70,1,5.3571,1.0000,3.585714285714286,0.44,0.63,0.337,0
"Malcolm Delaney",6-3,27,73,2,5.3562,2.6438,1.6986301369863013,0.374,0.806,0.236,0
"Alexis Ajinca",7-2,28,39,15,5.3077,0.3077,4.538461538461538,0.5,0.725,0,0
"Chasson Randle",6-2,23,26,0,5.2692,1.3077,1.2307692307692308,0.408,0.953,0.34,0
"Willie Reed",6-10,26,71,5,5.2676,0.3662,4.676056338028169,0.568,0.557,0.25,0
"Derrick Jones",6-7,19,32,8,5.2500,0.3750,2.46875,0.562,0.707,0.273,0
"Mike Dunleavy",6-3,36,53,2,5.1887,0.9434,2.169811320754717,0.423,0.8,0.396,0
"Mike Dunleavy",6-9,36,53,2,5.1887,0.9434,2.169811320754717,0.423,0.8,0.396,0
"Randy Foye",6-4,33,69,40,5.1739,1.9565,2.246376811594203,0.363,0.857,0.33,0
"Omri Casspi",6-9,28,36,2,5.1667,1.0278,3.111111111111111,0.467,0.586,0.349,0
"Cameron Payne",6-3,22,31,0,5.1613,1.7742,1.5483870967741935,0.332,0.625,0.314,0
"Hollis Thompson",6-8,25,40,9,5.1250,0.8750,2.775,0.385,0.655,0.337,0
"Shaun Livingston",6-7,31,76,3,5.1184,1.8289,1.986842105263158,0.547,0.7,0.333,0
"Cheick Diallo",6-9,20,17,0,5.1176,0.2353,4.294117647058823,0.474,0.714,,0
"Luis Scola",6-9,36,36,1,5.1111,1.0278,3.861111111111111,0.47,0.676,0.34,0
"Denzel Valentine",6-6,23,57,0,5.1053,1.1053,2.6491228070175437,0.354,0.778,0.351,0
"Dewayne Dedmon",7-0,27,76,37,5.0921,0.5789,6.5131578947368425,0.622,0.699,,0
"Wayne Selden",6-5,22,14,5,5.0714,0.9286,1.1428571428571428,0.431,0.636,0.25,0
"Joakim Noah",6-11,31,46,46,5.0435,2.2391,8.73913043478261,0.493,0.436,0,0
"Thomas Robinson",6-10,25,48,1,5.0208,0.6458,4.645833333333333,0.536,0.47,0,0
"Anthony Bennett",6-8,23,23,1,5.0000,0.5217,3.391304347826087,0.413,0.722,0.271,0
"Trey Burke",6-1,24,57,0,5.0000,1.7544,0.8245614035087719,0.455,0.759,0.443,0
"Aaron Brooks",6-0,32,65,0,4.9538,1.9231,1.0615384615384615,0.403,0.8,0.375,0
"Juan Hernangomez",6-9,21,62,9,4.9194,0.4677,3.0161290322580645,0.451,0.75,0.407,0
"Mario Hezonja",6-8,21,65,2,4.8769,0.9538,2.246153846153846,0.355,0.8,0.299,0
"Toney Douglas",6-2,30,24,0,4.8750,2.3333,2.5416666666666665,0.368,0.828,0.167,0
"Tiago Splitter",6-11,32,8,0,4.8750,0.5000,2.75,0.452,0.818,0.333,0
"Aron Baynes",6-10,30,75,2,4.8667,0.4267,4.44,0.513,0.84,,0
"Josh McRoberts",6-10,29,22,14,4.8636,2.2727,3.3636363636363638,0.373,0.667,0.419,0
"Jarell Eddie",6-7,25,5,0,4.8000,0.0000,1.4,0.316,0.889,0.25,0
"Cristiano Felicio",6-10,24,66,0,4.7879,0.6061,4.712121212121212,0.577,0.645,,0
"Luke Babbitt",6-9,27,68,55,4.7647,0.5294,2.088235294117647,0.402,0.733,0.414,0
"Kevin Seraphin",6-9,27,49,3,4.7347,0.4694,2.8979591836734695,0.551,0.636,0,0
"David West",6-9,36,68,0,4.6471,2.2206,2.985294117647059,0.536,0.768,0.375,0
"Isaiah Canaan",6-0,25,39,0,4.6410,0.9487,1.2564102564102564,0.364,0.909,0.266,0
"Boris Diaw",6-8,34,73,33,4.6301,2.3288,2.164383561643836,0.446,0.743,0.247,0
"Roy Hibbert",7-2,30,48,13,4.6042,0.4375,3.2083333333333335,0.544,0.813,,0
"Kris Humphries",6-9,31,56,4,4.5893,0.5179,3.6785714285714284,0.407,0.78,0.352,0
"Reggie Bullock",6-7,25,31,5,4.5484,0.9355,2.064516129032258,0.422,0.714,0.384,0
"C.J. Watson",6-2,32,62,9,4.5323,1.8387,1.435483870967742,0.387,0.864,0.305,0
"Corey Brewer",6-9,30,82,11,4.5244,1.1829,2.024390243902439,0.422,0.735,0.229,0
"Davis Bertans",6-10,24,67,6,4.5224,0.6866,1.4776119402985075,0.44,0.824,0.399,0
"Reggie Williams",6-7,30,6,0,4.5000,0.6667,1,0.348,0.857,0.455,0
"Reggie Williams",6-6,30,6,0,4.5000,0.6667,1,0.348,0.857,0.455,0
"Jarrod Uthoff",6-9,23,9,0,4.4444,1.0000,2.4444444444444446,0.421,0.714,0.333,0
"Lucas Nogueira",7-0,24,57,6,4.4386,0.7368,4.2631578947368425,0.66,0.657,0.25,0
"Noah Vonleh",6-10,21,74,41,4.4189,0.4189,5.22972972972973,0.481,0.638,0.35,0
"Donatas Motiejunas",7-0,26,34,0,4.4118,1.0000,2.9705882352941178,0.413,0.51,0.234,0
"Stanley Johnson",6-7,20,77,1,4.4026,1.3636,2.4545454545454546,0.353,0.679,0.292,0
"Pierre Jackson",5-10,25,8,1,4.3750,2.3750,1.125,0.333,0.857,0.273,0
"Jordan McRae",6-6,25,37,4,4.3514,0.5135,1.0810810810810811,0.387,0.794,0.353,0
"Ed Davis",6-10,27,46,12,4.3478,0.5870,5.282608695652174,0.528,0.617,,0
"Dorian Finney-Smith",6-8,23,81,35,4.3210,0.8272,2.728395061728395,0.372,0.754,0.293,0
"Tyler Ennis",6-3,22,53,2,4.3019,1.6226,0.8679245283018868,0.433,0.84,0.386,0
"K.J. McDaniels",6-6,23,49,0,4.2041,0.2653,1.6734693877551021,0.456,0.842,0.303,0
"Brandon Rush",6-6,31,47,33,4.1915,0.9574,2.106382978723404,0.374,0.722,0.386,0
"Pascal Siakam",6-9,22,55,38,4.1636,0.3091,3.3636363636363638,0.502,0.688,0.143,0
"Jason Terry",6-2,39,74,0,4.1486,1.3243,1.4324324324324325,0.432,0.828,0.427,0
"Ron Baker",6-4,23,52,13,4.1346,2.0577,1.8846153846153846,0.378,0.651,0.267,0
"Shabazz Napier",6-1,25,53,2,4.1132,1.2642,1.150943396226415,0.399,0.776,0.37,0
"Edy Tavares",7-3,24,2,0,4.0000,0.5000,5.5,0.8,0,,0
"Patrick McCaw",6-7,21,71,20,3.9718,1.0845,1.4225352112676057,0.433,0.784,0.333,0
"Thon Maker",7-1,19,57,34,3.9649,0.4035,2,0.459,0.653,0.378,0
"Kay Felder",5-9,21,42,0,3.9524,1.3810,0.9761904761904762,0.392,0.714,0.318,0
"Jarell Martin",6-10,22,42,3,3.9286,0.1905,3.857142857142857,0.384,0.8,0.36,0
"Jonas Jerebko",6-10,29,78,6,3.8333,0.9103,3.5,0.435,0.703,0.346,0
"Malik Beasley",6-5,20,22,1,3.7727,0.5000,0.7727272727272727,0.452,0.8,0.321,0
"Kris Dunn",6-4,22,78,7,3.7564,2.4103,2.128205128205128,0.377,0.61,0.288,0
"Malachi Richardson",6-6,21,22,0,3.5909,0.5000,1.0454545454545454,0.412,0.789,0.286,0
"Adreian Payne",6-10,25,18,0,3.5000,0.3889,1.8333333333333333,0.426,0.737,0.2,0
"Tyler Zeller",7-0,27,51,5,3.4902,0.8235,2.4313725490196076,0.494,0.564,0,0
"Tyus Jones",6-2,20,60,0,3.4833,2.6000,1.1166666666666667,0.414,0.767,0.356,0
"Brian Roberts",6-1,31,41,2,3.4634,1.2683,0.9512195121951219,0.377,0.846,0.386,0
"Rashad Vaughn",6-6,20,41,2,3.4634,0.5610,1.1951219512195121,0.365,0.4,0.321,0
"Johnny O'Bryant",6-9,23,11,0,3.4545,0.5455,1.7272727272727273,0.5,0.833,0.5,0
"Jose Calderon",6-3,35,41,13,3.4390,2.1463,1.8048780487804879,0.41,0.917,0.313,0
"Dejounte Murray",6-5,20,38,8,3.4211,1.2632,1.105263157894737,0.431,0.7,0.391,0
"Kyle Anderson",6-9,23,72,14,3.4167,1.2639,2.888888888888889,0.445,0.789,0.375,0
"Dragan Bender",7-1,19,43,0,3.3953,0.5349,2.395348837209302,0.354,0.364,0.277,0
"Jared Sullinger",6-9,24,11,1,3.3636,0.2727,2.4545454545454546,0.313,0.5,0.167,0
"Gary Payton",6-4,24,6,0,3.3333,2.1667,2,0.364,0.6,0.111,0
"Gary Payton",6-3,24,6,0,3.3333,2.1667,2,0.364,0.6,0.111,0
"Norris Cole",6-2,28,13,0,3.3077,1.0769,0.8461538461538461,0.308,0.8,0.231,0
"Nicolas Laprovittola",6-4,27,18,3,3.2778,1.5556,0.5555555555555556,0.426,1,0.37,0
"Darrun Hilliard",6-6,23,39,1,3.2564,0.8462,0.8461538461538461,0.373,0.75,0.261,0
"Paul Pierce",6-7,39,25,7,3.2400,0.4000,1.92,0.4,0.769,0.349,0
"Wade Baldwin",6-4,20,33,1,3.2121,1.8485,1.393939393939394,0.313,0.838,0.136,0
"Henry Ellenson",6-11,20,19,2,3.1579,0.3684,2.1578947368421053,0.359,0.5,0.286,0
